city,gender,school_name,school_type,caste_community,religion,quota,accommodation,source,parents_thought,reason_for_joining,student_goal,cutoff_12th,geographic_segment,academic_segment,socioeconomic_segment,distance_category,marketing_channel_type,parents_sentiment
Coimbatore,Male,Bharathi Park HSS,Private CBSE,OC,Christian,Government Counselling,Day Scholar,Social Media Ad,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,High Placement,185,Local,Average,Mixed,Close,Digital,Positive
Salem,Male,JKL CBSE School Salem,Private CBSE,SC,Hindu,Management,Hostel,College Website,Good hostel facilities and the mess food quality during our visit was satisfactory.,Interest,High Placement,189,Local,Average,Premium,Close,Digital,Positive
Tiruppur,Female,JKL CBSE Tiruppur,Private CBSE,SC,Hindu,Management,Day Scholar,TV Advertisement,The campus environment seems conducive for focused technical studies.,Interest,Higher Studies Masters,190,Local,Average,Premium,Close,Traditional,Neutral
Coimbatore,Female,Bharathi Park HSS,Private Matriculation,SC,Hindu,Management,Day Scholar,College Website,Alumni working in good companies gave positive feedback about the college.,Interest,High Placement,177,Local,Below Average,Middle,Close,Digital,Positive
Karur,Male,Karur CBSE School,Private CBSE,OC,Hindu,Government Counselling,Day Scholar,College Website,The convenience of staying at home while getting quality education is ideal.,Counselling,Higher Studies Masters,187,Local,Average,Mixed,Distant,Digital,Neutral
Chennai,Female,Sri Sankara School,Private Matriculation,SC,Hindu,Management,Hostel,Newspaper Ad,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Higher Studies Masters,189,Metro,Average,Middle,Distant,Other,Positive
Erode,Female,Government HSS Erode,Government,BC,Hindu,Government Counselling,Day Scholar,Newspaper Ad,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,194,Local,High Performer,Budget,Very Close,Other,Positive
Erode,Male,Kongu Vellalar HSS,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Social Media Ad,The convenience of staying at home while getting quality education is ideal.,Counselling,High Placement,180,Local,Below Average,Mixed,Very Close,Digital,Neutral
Erode,Male,Anna HSS Erode,Private Matriculation,SC,Christian,Government Counselling,Day Scholar,TV Advertisement,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,181,Local,Average,Middle,Very Close,Traditional,Positive
Coimbatore,Male,St. Michaels HSS,Private Matriculation,OC,Christian,Government Counselling,Day Scholar,Newspaper Ad,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,194,Local,High Performer,Middle,Close,Other,Positive
Erode,Male,Kongu Vellalar HSS,Private CBSE,MBC,Hindu,Management,Hostel,Campus Visit,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Higher Studies Masters,195,Local,High Performer,Premium,Very Close,Other,Positive
Tiruppur,Female,Municipal HSS Tiruppur,Government,MBC,Christian,Government Counselling,Hostel,Education Fair,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Become an Entrepreneur,185,Local,Average,Budget,Close,Traditional,Neutral
Erode,Male,ABC Matriculation School Erode,Private Matriculation,BC,Hindu,Management,Day Scholar,Alumni Reference,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,Higher Studies Masters,194,Local,High Performer,Middle,Very Close,Other,Neutral
Tiruppur,Female,DEF Matriculation School Tiruppur,Private Matriculation,BC,Hindu,Government Counselling,Day Scholar,Newspaper Ad,The convenience of staying at home while getting quality education is ideal.,Interest,High Placement,181,Local,Average,Middle,Close,Other,Neutral
Coimbatore,Female,XYZ International School Coimbatore,Private CBSE,BC,Hindu,Management,Hostel,Campus Visit,Strong industry connections and practical learning approach attracted us to BIT.,Interest,Government Job,195,Local,High Performer,Premium,Close,Other,Neutral
Coimbatore,Female,DAV School Coimbatore,Private CBSE,MBC,Hindu,Management,Hostel,Social Media Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,Become an Entrepreneur,185,Local,Average,Premium,Close,Digital,Neutral
Coimbatore,Male,Maharishi Vidya Mandir,Private CBSE,MBC,Christian,Management,Day Scholar,Education Fair,The fees were high but the infrastructure and faculty quality convinced us.,Interest,High Placement,185,Local,Average,Premium,Close,Traditional,Positive
Pondicherry,Female,Pondicherry Public School,Private CBSE,MBC,Christian,Government Counselling,Hostel,Social Media Ad,Erode location provides good balance of facilities without big city distractions.,Interest,High Placement,188,Regional,Average,Mixed,Distant,Digital,Positive
Coimbatore,Male,Sowripalayam HSS,Private CBSE,SC,Christian,Management,Day Scholar,Newspaper Ad,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Start Own Business,176,Local,Below Average,Premium,Close,Other,Positive
Coimbatore,Male,Sri Krishna HSS,Private CBSE,BCM,Muslim,Management,Hostel,Newspaper Ad,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,High Placement,172,Local,Below Average,Premium,Close,Other,Positive
Salem,Male,Attur HSS,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,School Counselor,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Government Job,195,Local,High Performer,Mixed,Close,Referral,Positive
Chennai,Female,DAV School Chennai,Private CBSE,MBC,Hindu,Government Counselling,Hostel,Google Search,Good value for money considering the quality of engineering programs offered.,Counselling,Higher Studies Masters,186,Metro,Average,Mixed,Distant,Digital,Positive
Coimbatore,Female,Race Course HSS,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Google Search,The convenience of staying at home while getting quality education is ideal.,Counselling,Become an Entrepreneur,186,Local,Average,Mixed,Close,Digital,Neutral
Tiruppur,Female,DEF Matriculation School Tiruppur,Private CBSE,BCM,Muslim,Management,Day Scholar,TV Advertisement,Good value for money considering the quality of engineering programs offered.,Interest,Become an Entrepreneur,172,Local,Below Average,Premium,Close,Traditional,Positive
Erode,Female,Erode Public School,Private Matriculation,BC,Hindu,Management,Day Scholar,Google Search,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Government Job,192,Local,High Performer,Middle,Very Close,Digital,Positive
Erode,Female,Gandhi HSS Erode,Private CBSE,BC,Hindu,Management,Day Scholar,Google Search,The management fee was a stretch but the placement records justify the investment.,Interest,Government Job,192,Local,High Performer,Premium,Very Close,Digital,Neutral
Tiruppur,Male,ABC School Tiruppur,Private CBSE,OC,Hindu,Management,Day Scholar,Alumni Reference,Alumni working in good companies gave positive feedback about the college.,Counselling,High Placement,170,Local,Below Average,Premium,Close,Other,Positive
Namakkal,Male,ABC School Namakkal,Private Matriculation,SC,Christian,Management,Day Scholar,College Website,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Government Job,194,Regional,High Performer,Middle,Distant,Digital,Positive
Erode,Male,Little Angels School,Private CBSE,MBC,Hindu,Management,Day Scholar,Social Media Ad,"Being close to home, day scholar option works perfectly for our family.",Interest,Higher Studies Masters,188,Local,Average,Premium,Very Close,Digital,Positive
Coimbatore,Male,Suguna HSS,Private Matriculation,SC,Christian,Management,Hostel,Social Media Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,Become an Entrepreneur,175,Local,Below Average,Middle,Close,Digital,Neutral
Tiruppur,Female,ABC School Tiruppur,Private CBSE,SC,Christian,Management,Day Scholar,Social Media Ad,Good value for money considering the quality of engineering programs offered.,Interest,Higher Studies Masters,183,Local,Average,Premium,Close,Digital,Positive
Salem,Female,Montfort HSS Salem,Private CBSE,SC,Christian,Management,Hostel,Friend Family Referral,The management fee was a stretch but the placement records justify the investment.,Interest,Higher Studies Masters,189,Local,Average,Premium,Close,Referral,Neutral
Coimbatore,Female,PSG Public Schools,Private Matriculation,BC,Christian,Management,Day Scholar,Newspaper Ad,The day scholar option works well for our family situation.,Interest,Higher Studies Masters,180,Local,Below Average,Middle,Close,Other,Neutral
Tiruppur,Female,Avinashilingam HSS,Private CBSE,BC,Hindu,Management,Day Scholar,Google Search,We heard about BIT through google search and the reviews were positive.,Counselling,Start Own Business,171,Local,Below Average,Premium,Close,Digital,Neutral
Namakkal,Female,Municipal HSS Namakkal,Government,SC,Hindu,Government Counselling,Hostel,Friend Family Referral,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,Government Job,192,Regional,High Performer,Budget,Distant,Referral,Positive
Coimbatore,Male,Sri Ramakrishna Mission School,Private Matriculation,BC,Christian,Management,Day Scholar,Social Media Ad,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,Become an Entrepreneur,185,Local,Average,Middle,Close,Digital,Neutral
Erode,Male,Little Angels School,Private Matriculation,SC,Hindu,Government Counselling,Hostel,Social Media Ad,The hostel option works well for our family situation.,Interest,Higher Studies Masters,183,Local,Average,Middle,Very Close,Digital,Neutral
Erode,Female,Sacred Heart HSS Erode,Private CBSE,BC,Hindu,Management,Day Scholar,TV Advertisement,We decided to invest in management quota considering the ROI through placements.,Counselling,High Placement,188,Local,Average,Premium,Very Close,Traditional,Neutral
Tiruppur,Male,Dharapuram HSS,Private Matriculation,BCM,Muslim,Management,Day Scholar,Google Search,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,191,Local,High Performer,Middle,Close,Digital,Positive
Madurai,Male,TVS HSS,Private CBSE,MBC,Hindu,Government Counselling,Hostel,Education Fair,The campus environment seems conducive for focused technical studies.,Counselling,Become an Entrepreneur,182,Regional,Average,Mixed,Distant,Traditional,Neutral
Tiruppur,Male,St. Josephs HSS Tiruppur,Private Matriculation,BCM,Muslim,Government Counselling,Day Scholar,College Website,"Being close to home, day scholar option works perfectly for our family.",Counselling,Become an Entrepreneur,183,Local,Average,Middle,Close,Digital,Positive
Tiruppur,Female,Municipal HSS Tiruppur,Government,MBC,Christian,Government Counselling,Day Scholar,Friend Family Referral,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Higher Studies Masters,187,Local,Average,Budget,Close,Referral,Positive
Coimbatore,Female,PSG Public Schools,Private Matriculation,SC,Hindu,Government Counselling,Hostel,School Counselor,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Higher Studies Masters,186,Local,Average,Middle,Close,Referral,Positive
Thanjavur,Male,Thanjavur Public School,Private Matriculation,BC,Christian,Government Counselling,Hostel,Education Fair,The hostel facilities looked good during our campus visit and safety seemed adequate.,Counselling,Higher Studies Masters,194,Regional,High Performer,Middle,Distant,Traditional,Positive
Erode,Female,Anna HSS Erode,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,Social Media Ad,Erode location provides good balance of facilities without big city distractions.,Counselling,Higher Studies Masters,197,Local,High Performer,Mixed,Very Close,Digital,Positive
Tiruppur,Female,MNO International Tiruppur,Private CBSE,MBC,Christian,Government Counselling,Hostel,College Website,The academic reputation and placement statistics convinced us to choose BIT.,Counselling,Higher Studies Masters,182,Local,Average,Mixed,Close,Digital,Positive
Thanjavur,Female,Thanjavur Matriculation School,Private CBSE,SC,Christian,Management,Hostel,TV Advertisement,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Become an Entrepreneur,185,Regional,Average,Premium,Distant,Traditional,Positive
Karur,Male,Karur Matriculation School,Private CBSE,BC,Hindu,Management,Hostel,School Counselor,Erode location provides good balance of facilities without big city distractions.,Counselling,Government Job,194,Local,High Performer,Premium,Distant,Referral,Positive
Tiruppur,Female,Palladam HSS,Private CBSE,OC,Christian,Management,Day Scholar,Google Search,Good value for money considering the quality of engineering programs offered.,Counselling,Higher Studies Masters,187,Local,Average,Premium,Close,Digital,Positive
Madurai,Male,Municipal HSS Madurai,Government,MBC,Christian,Management,Hostel,Campus Visit,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Higher Studies Masters,188,Regional,Average,Budget,Distant,Other,Positive
Kanchipuram,Female,Kanchipuram Public School,Private Matriculation,SC,Hindu,Management,Hostel,School Counselor,The campus environment seems conducive for focused technical studies.,Counselling,Become an Entrepreneur,184,Regional,Average,Middle,Distant,Referral,Neutral
Namakkal,Male,Komarapalayam HSS,Private Matriculation,OC,Hindu,Management,Day Scholar,Campus Visit,Alumni working in good companies gave positive feedback about the college.,Counselling,Start Own Business,179,Regional,Below Average,Middle,Distant,Other,Positive
Salem,Male,Yercaud HSS,Private CBSE,SC,Hindu,Government Counselling,Hostel,Social Media Ad,Good hostel facilities and the mess food quality during our visit was satisfactory.,Counselling,High Placement,181,Local,Average,Mixed,Close,Digital,Positive
Salem,Male,Periyar University HSS,Private Matriculation,MBC,Hindu,Government Counselling,Hostel,Google Search,Good value for money considering the quality of engineering programs offered.,Interest,Higher Studies Masters,186,Local,Average,Middle,Close,Digital,Positive
Tiruppur,Male,Kumaran Schools,Private CBSE,OC,Christian,Management,Day Scholar,Social Media Ad,The campus environment seems conducive for focused technical studies.,Interest,Start Own Business,171,Local,Below Average,Premium,Close,Digital,Neutral
Coimbatore,Female,Race Course HSS,Private CBSE,OC,Hindu,Government Counselling,Day Scholar,School Counselor,The convenience of staying at home while getting quality education is ideal.,Counselling,Higher Studies Masters,182,Local,Average,Mixed,Close,Referral,Neutral
Coimbatore,Male,Government HSS RS Puram,Government,BC,Christian,Management,Day Scholar,Friend Family Referral,The campus environment seems conducive for focused technical studies.,Interest,Become an Entrepreneur,183,Local,Average,Budget,Close,Referral,Neutral
Erode,Female,Sacred Heart HSS Erode,Private CBSE,BC,Hindu,Government Counselling,Hostel,Alumni Reference,The hostel option works well for our family situation.,Counselling,High Placement,184,Local,Average,Mixed,Very Close,Other,Neutral
Erode,Male,Sri Ramakrishna Mission School Erode,Private Matriculation,SC,Christian,Management,Hostel,Education Fair,The campus environment seems safe and conducive for focused studies.,Interest,High Placement,193,Local,High Performer,Middle,Very Close,Traditional,Neutral
Salem,Male,Sona HSS Salem,Private CBSE,SC,Hindu,Government Counselling,Day Scholar,Newspaper Ad,The day scholar option works well for our family situation.,Interest,Become an Entrepreneur,185,Local,Average,Mixed,Close,Other,Neutral
Erode,Male,Municipal HSS Erode,Government,BC,Hindu,Government Counselling,Hostel,TV Advertisement,The academic reputation and placement statistics convinced us to choose BIT.,Interest,High Placement,196,Local,High Performer,Budget,Very Close,Traditional,Positive
Namakkal,Female,DEF HSS Namakkal,Private Matriculation,MBC,Christian,Government Counselling,Day Scholar,College Website,"Being close to home, day scholar option works perfectly for our family.",Counselling,Higher Studies Masters,182,Regional,Average,Middle,Distant,Digital,Positive
Kanchipuram,Male,Municipal HSS Kanchipuram,Government,MBC,Hindu,Government Counselling,Hostel,Google Search,We heard about BIT through google search and the reviews were positive.,Counselling,Become an Entrepreneur,187,Regional,Average,Budget,Distant,Digital,Neutral
Tiruppur,Female,Avinashilingam HSS,Private CBSE,OC,Hindu,Management,Day Scholar,Newspaper Ad,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Higher Studies Masters,194,Local,High Performer,Premium,Close,Other,Positive
Salem,Female,Periyar University HSS,Private CBSE,SC,Christian,Management,Day Scholar,Friend Family Referral,No hostel expenses and we can monitor the studies closely from home.,Interest,Start Own Business,172,Local,Below Average,Premium,Close,Referral,Neutral
Karur,Male,Karur Public School,Private Matriculation,SC,Hindu,Government Counselling,Hostel,Social Media Ad,The campus environment seems conducive for focused technical studies.,Interest,High Placement,188,Local,Average,Middle,Distant,Digital,Neutral
Tiruppur,Female,XYZ HSS Tiruppur,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Friend Family Referral,The day scholar option works well for our family situation.,Interest,Higher Studies Masters,181,Local,Average,Mixed,Close,Referral,Neutral
Coimbatore,Male,Race Course HSS,Private Matriculation,BC,Hindu,Government Counselling,Day Scholar,Google Search,The convenience of staying at home while getting quality education is ideal.,Counselling,High Placement,198,Local,High Performer,Middle,Close,Digital,Neutral
Bangalore,Female,Municipal HSS Bangalore,Government,OC,Christian,Government Counselling,Hostel,Friend Family Referral,Alumni working in good companies gave positive feedback about the college.,Counselling,Higher Studies Masters,187,Metro,Average,Budget,Distant,Referral,Positive
Coimbatore,Female,XYZ International School Coimbatore,Private CBSE,MBC,Christian,Management,Day Scholar,Education Fair,We heard about BIT through education fair and the reviews were positive.,Interest,High Placement,174,Local,Below Average,Premium,Close,Traditional,Neutral
Coimbatore,Female,Bharathi Park HSS,Private Matriculation,BCM,Muslim,Management,Day Scholar,TV Advertisement,The management fee was a stretch but the placement records justify the investment.,Interest,High Placement,176,Local,Below Average,Middle,Close,Traditional,Neutral
Kanchipuram,Male,ABC School Kanchipuram,Private CBSE,MBC,Hindu,Management,Hostel,Campus Visit,Infrastructure and lab facilities are much better than other colleges we visited.,Counselling,High Placement,185,Regional,Average,Premium,Distant,Other,Neutral
Namakkal,Female,ABC School Namakkal,Private Matriculation,BCM,Muslim,Government Counselling,Day Scholar,TV Advertisement,The campus environment seems conducive for focused technical studies.,Counselling,Become an Entrepreneur,189,Regional,Average,Middle,Distant,Traditional,Neutral
Coimbatore,Female,Sri Krishna HSS,Private Matriculation,BC,Hindu,Management,Hostel,Social Media Ad,We decided to invest in management quota considering the ROI through placements.,Counselling,High Placement,177,Local,Below Average,Middle,Close,Digital,Neutral
Salem,Male,Sacred Heart Salem,Private Matriculation,MBC,Christian,Management,Hostel,College Website,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,High Placement,172,Local,Below Average,Middle,Close,Digital,Neutral
Erode,Female,Bharathi Vidyalaya Erode,Private Matriculation,BC,Hindu,Government Counselling,Day Scholar,TV Advertisement,The day scholar option works well for our family situation.,Counselling,Government Job,190,Local,Average,Middle,Very Close,Traditional,Neutral
Erode,Female,Little Angels School,Private Matriculation,OC,Hindu,Management,Day Scholar,School Counselor,No hostel expenses and we can monitor the studies closely from home.,Counselling,Higher Studies Masters,180,Local,Below Average,Middle,Very Close,Referral,Neutral
Cuddalore,Female,Cuddalore Matriculation School,Private CBSE,OC,Christian,Government Counselling,Day Scholar,School Counselor,The day scholar option works well for our family situation.,Interest,High Placement,194,Regional,High Performer,Mixed,Distant,Referral,Neutral
Coimbatore,Male,Bharathi Park HSS,Private CBSE,MBC,Christian,Management,Day Scholar,Friend Family Referral,The faculty qualifications and research opportunities impressed us during the campus visit.,Counselling,Higher Studies Masters,180,Local,Below Average,Premium,Close,Referral,Positive
Hyderabad,Female,DEF HSS Hyderabad,Private Matriculation,MBC,Christian,Government Counselling,Day Scholar,Social Media Ad,The convenience of staying at home while getting quality education is ideal.,Interest,Government Job,198,Metro,High Performer,Middle,Distant,Digital,Neutral
Thanjavur,Female,Thanjavur Public School,Private CBSE,SC,Christian,Management,Hostel,Google Search,Alumni working in good companies gave positive feedback about the college.,Counselling,High Placement,195,Regional,High Performer,Premium,Distant,Digital,Positive
Karur,Male,GHI Matriculation Karur,Private CBSE,SC,Christian,Government Counselling,Hostel,Google Search,Erode location provides good balance of facilities without big city distractions.,Interest,Become an Entrepreneur,186,Local,Average,Mixed,Distant,Digital,Positive
Karur,Female,Karur Matriculation School,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,TV Advertisement,No hostel expenses and we can monitor the studies closely from home.,Counselling,Become an Entrepreneur,180,Local,Below Average,Mixed,Distant,Traditional,Neutral
Coimbatore,Male,St. Michaels HSS,Private Matriculation,OC,Hindu,Government Counselling,Day Scholar,Education Fair,Strong industry connections and practical learning approach attracted us to BIT.,Counselling,High Placement,195,Local,High Performer,Middle,Close,Traditional,Neutral
Tiruppur,Female,Government HSS Tiruppur,Government,MBC,Christian,Government Counselling,Day Scholar,School Counselor,Alumni working in good companies gave positive feedback about the college.,Counselling,Become an Entrepreneur,185,Local,Average,Budget,Close,Referral,Positive
Dindigul,Male,Government HSS Dindigul,Government,MBC,Hindu,Government Counselling,Hostel,College Website,The campus environment seems safe and conducive for focused studies.,Counselling,High Placement,189,Regional,Average,Budget,Distant,Digital,Neutral
Coimbatore,Male,Lisieux HSS,Private Matriculation,OC,Hindu,Management,Day Scholar,Alumni Reference,The day scholar option works well for our family situation.,Interest,High Placement,176,Local,Below Average,Middle,Close,Other,Neutral
Coimbatore,Male,DAV School Coimbatore,Private CBSE,BC,Hindu,Management,Day Scholar,School Counselor,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Become an Entrepreneur,175,Local,Below Average,Premium,Close,Referral,Positive
Tiruppur,Female,ABC School Tiruppur,Private Matriculation,MBC,Christian,Management,Day Scholar,School Counselor,The convenience of staying at home while getting quality education is ideal.,Interest,High Placement,192,Local,High Performer,Middle,Close,Referral,Neutral
Tiruppur,Female,Dharapuram HSS,Private CBSE,BCM,Muslim,Government Counselling,Day Scholar,TV Advertisement,The campus environment seems conducive for focused technical studies.,Counselling,Higher Studies Masters,187,Local,Average,Mixed,Close,Traditional,Neutral
Namakkal,Female,Komarapalayam HSS,Private CBSE,MBC,Hindu,Management,Day Scholar,Friend Family Referral,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Start Own Business,177,Regional,Below Average,Premium,Distant,Referral,Positive
Pondicherry,Male,ABC School Pondicherry,Private Matriculation,BC,Christian,Management,Day Scholar,Campus Visit,"Being close to home, day scholar option works perfectly for our family.",Interest,Start Own Business,172,Regional,Below Average,Middle,Distant,Other,Positive
Salem,Male,St. Josephs Salem,Private Matriculation,BC,Christian,Management,Hostel,Friend Family Referral,Good value for money considering the quality of engineering programs offered.,Interest,Become an Entrepreneur,170,Local,Below Average,Middle,Close,Referral,Positive
Erode,Female,Little Angels School,Private Matriculation,SC,Hindu,Management,Day Scholar,Education Fair,The campus environment seems conducive for focused technical studies.,Interest,Higher Studies Masters,186,Local,Average,Middle,Very Close,Traditional,Neutral
Namakkal,Male,Municipal HSS Namakkal,Government,BCM,Muslim,Government Counselling,Day Scholar,TV Advertisement,The convenience of staying at home while getting quality education is ideal.,Counselling,Government Job,199,Regional,High Performer,Budget,Distant,Traditional,Neutral
Coimbatore,Male,Suguna HSS,Private Matriculation,OC,Hindu,Government Counselling,Day Scholar,College Website,We heard about BIT through college website and the reviews were positive.,Counselling,Higher Studies Masters,188,Local,Average,Middle,Close,Digital,Neutral
Coimbatore,Male,Stanes HSS,Private CBSE,BC,Hindu,Government Counselling,Day Scholar,Newspaper Ad,The academic reputation and placement statistics convinced us to choose BIT.,Interest,High Placement,197,Local,High Performer,Mixed,Close,Other,Positive
Erode,Female,Erode Public School,Private Matriculation,BC,Hindu,Government Counselling,Day Scholar,Alumni Reference,The convenience of staying at home while getting quality education is ideal.,Counselling,Higher Studies Masters,198,Local,High Performer,Middle,Very Close,Other,Neutral
Trichy,Male,DEF HSS Trichy,Private Matriculation,OC,Christian,Management,Hostel,School Counselor,The campus environment seems conducive for focused technical studies.,Interest,Become an Entrepreneur,175,Regional,Below Average,Middle,Distant,Referral,Neutral
Erode,Male,ABC Matriculation School Erode,Private CBSE,BC,Hindu,Management,Hostel,College Website,We heard about BIT through college website and the reviews were positive.,Interest,Government Job,194,Local,High Performer,Premium,Very Close,Digital,Neutral
Kochi,Male,Kochi Matriculation School,Private Matriculation,BC,Christian,Management,Hostel,Newspaper Ad,The campus environment seems safe and conducive for focused studies.,Interest,Higher Studies Masters,195,Regional,High Performer,Middle,Distant,Other,Neutral
Coimbatore,Female,CMPS School,Private CBSE,OC,Christian,Government Counselling,Day Scholar,Google Search,The day scholar option works well for our family situation.,Counselling,High Placement,184,Local,Average,Mixed,Close,Digital,Neutral
Salem,Female,JKL CBSE School Salem,Private CBSE,BC,Hindu,Management,Day Scholar,College Website,Strong industry connections and practical learning approach attracted us to BIT.,Interest,High Placement,170,Local,Below Average,Premium,Close,Digital,Neutral
Salem,Male,Sona HSS Salem,Private Matriculation,MBC,Christian,Government Counselling,Day Scholar,College Website,The convenience of staying at home while getting quality education is ideal.,Interest,Become an Entrepreneur,185,Local,Average,Middle,Close,Digital,Neutral
Coimbatore,Male,CMPS School,Private CBSE,OC,Christian,Management,Day Scholar,TV Advertisement,Infrastructure and lab facilities are much better than other colleges we visited.,Interest,High Placement,171,Local,Below Average,Premium,Close,Traditional,Neutral
Tiruppur,Male,XYZ HSS Tiruppur,Private CBSE,BCM,Muslim,Management,Hostel,School Counselor,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Become an Entrepreneur,188,Local,Average,Premium,Close,Referral,Positive
Salem,Female,Anna University HSS Salem,Private Matriculation,BC,Hindu,Management,Day Scholar,Alumni Reference,The fees were high but the infrastructure and faculty quality convinced us.,Interest,Become an Entrepreneur,170,Local,Below Average,Middle,Close,Other,Positive
Dindigul,Female,Dindigul CBSE School,Private CBSE,MBC,Christian,Management,Day Scholar,Friend Family Referral,Alumni working in good companies gave positive feedback about the college.,Counselling,Become an Entrepreneur,172,Regional,Below Average,Premium,Distant,Referral,Positive
Erode,Female,Little Angels School,Private CBSE,OC,Christian,Management,Day Scholar,College Website,Alumni working in good companies gave positive feedback about the college.,Counselling,High Placement,181,Local,Average,Premium,Very Close,Digital,Positive
Kanchipuram,Male,Municipal HSS Kanchipuram,Government,OC,Christian,Government Counselling,Hostel,Newspaper Ad,The campus environment seems safe and conducive for focused studies.,Interest,Become an Entrepreneur,189,Regional,Average,Budget,Distant,Other,Neutral
Karur,Male,Karur Public School,Private CBSE,MBC,Christian,Government Counselling,Day Scholar,College Website,The day scholar option works well for our family situation.,Interest,Become an Entrepreneur,181,Local,Average,Mixed,Distant,Digital,Neutral
Karur,Female,Karur Matriculation School,Private CBSE,SC,Christian,Management,Day Scholar,Alumni Reference,We heard about BIT through alumni reference and the reviews were positive.,Interest,Higher Studies Masters,182,Local,Average,Premium,Distant,Other,Neutral
Vellore,Female,GHI Matriculation Vellore,Private Matriculation,OC,Christian,Management,Hostel,Google Search,We were initially worried about hostel life but the warden system reassured us.,Counselling,Government Job,194,Regional,High Performer,Middle,Distant,Digital,Concerned
Tiruppur,Female,Municipal HSS Tiruppur,Government,BCM,Muslim,Government Counselling,Hostel,Alumni Reference,The campus environment seems conducive for focused technical studies.,Counselling,Higher Studies Masters,189,Local,Average,Budget,Close,Other,Neutral
Coimbatore,Female,Maharishi Vidya Mandir,Private CBSE,OC,Hindu,Government Counselling,Day Scholar,Newspaper Ad,The day scholar option works well for our family situation.,Counselling,Higher Studies Masters,186,Local,Average,Mixed,Close,Other,Neutral
Chennai,Male,Velammal HSS,Private CBSE,SC,Christian,Management,Hostel,Newspaper Ad,The management fee was a stretch but the placement records justify the investment.,Counselling,Start Own Business,177,Metro,Below Average,Premium,Distant,Other,Neutral
Namakkal,Male,Municipal HSS Namakkal,Government,MBC,Hindu,Government Counselling,Day Scholar,Newspaper Ad,The day scholar option works well for our family situation.,Interest,Higher Studies Masters,195,Regional,High Performer,Budget,Distant,Other,Neutral
Namakkal,Male,ABC School Namakkal,Private CBSE,BC,Hindu,Management,Day Scholar,College Website,The faculty qualifications and research opportunities impressed us during the campus visit.,Interest,Government Job,194,Regional,High Performer,Premium,Distant,Digital,Positive
Salem,Male,Periyar University HSS,Private Matriculation,BC,Hindu,Government Counselling,Day Scholar,Alumni Reference,"Being close to home, day scholar option works perfectly for our family.",Counselling,High Placement,196,Local,High Performer,Middle,Close,Other,Positive
Erode,Female,Municipal HSS Erode,Government,BC,Hindu,Government Counselling,Hostel,Social Media Ad,The campus environment seems conducive for focused technical studies.,Interest,Higher Studies Masters,194,Local,High Performer,Budget,Very Close,Digital,Neutral
Tiruppur,Male,Avinashilingam HSS,Private Matriculation,MBC,Christian,Management,Hostel,Google Search,The academic reputation and placement statistics convinced us to choose BIT.,Interest,Government Job,190,Local,Average,Middle,Close,Digital,Positive
Erode,Female,Government HSS Erode,Government,OC,Christian,Management,Day Scholar,Google Search,The convenience of staying at home while getting quality education is ideal.,Interest,Become an Entrepreneur,181,Local,Average,Budget,Very Close,Digital,Neutral
Coimbatore,Male,Lisieux HSS,Private CBSE,BC,Christian,Management,Day Scholar,Friend Family Referral,The day scholar option works well for our family situation.,Interest,Start Own Business,172,Local,Below Average,Premium,Close,Referral,Neutral
